Year	terrorism	terrorist	occupation	narcotic	violation	democracy	development
2000	3	3	4	3	5	10	10
2001	8 	12	4	8	34	8	0
2002	64	135	22	26	12	78	154
2003	106	81	40	85	979	335	571
2004	1023	769	192	231	3399	1538	1898
2005	689	982	799	1043	7666	3141	5252
2006	1487	2020	1226	1908	20062	7782	15493
2007	2114	1977	2293	2959	33115	17049	34252
2008	4498	2774	4682	5582	69652	18554	72427
2009	4081	4135	5652	9582	75156	22799	99233
2010	12982	10152	12277	23043	177438	48165	212550
2011	26613	20544	17179	34201	302234	102991	334815
2012	18904	22093	28444	35101	359914	139533	487014
2013	47475	47501	47155	52963	540484	145427	746323
2014	155287	381253	171672	61754	872519	199687	874415
2015	18191	239729	9856	6418	65437	14450	80837
